,,,,,,,,
,Kiểu mái,Loại ngói,Hình chữ nhật,Hình thang,Hình tam giác,,,Định mức
,Mái gỗ,15 cặp/m2,"Không có hao hụt: Dài x rộng
Thêm hao hụt: 
15%: (Dài x rộng)*1,15
20%: (Dài x rộng)*1,2","Không có hao hụt: ((Đáy lớn + Đáy bé)*Chiều cao)/2
Thêm hao hụt: 
15%: (((Đáy lớn + Đáy bé)*Chiều cao)/2))*1,15
20%: (((Đáy lớn + Đáy bé)*Chiều cao)/2))*1,2","Không có hao hụt: (Chiều dài*Chiều cao)/2
Thêm hao hụt: 
15%: ((Chiều dài*Chiều cao)/2)*1,15
20%: ((Chiều dài*Chiều cao)/2)*1,2",Ngói âm,Tổng diện tích x,25
,Mái gỗ,15 cặp/m2,,,,Ngói dương,Tổng diện tích x,15
,Mái gỗ,15 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,3
,Mái gỗ,27 cặp/m2,,,,Ngói âm,Tổng diện tích x,40
,Mái gỗ,27 cặp/m2,,,,Ngói dương,Tổng diện tích x,27
,Mái gỗ,27 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,5
,Mái gỗ,43 cặp/m2,,,,Ngói âm,Tổng diện tích x,60
,Mái gỗ,43 cặp/m2,,,,Ngói dương,Tổng diện tích x,43
,Mái gỗ,43 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,6
,Mái gỗ,80 cặp/m2,,,,Ngói âm,Tổng diện tích x,120
,Mái gỗ,80 cặp/m2,,,,Ngói dương,Tổng diện tích x,80
,Mái gỗ,80 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,8
,Mái bê tông,15 cặp/m2,"Không có hao hụt: Dài x rộng
Thêm hao hụt: 
15%: (Dài x rộng)*1,15
20%: (Dài x rộng)*1,2","Không có hao hụt: ((Đáy lớn + Đáy bé)*Chiều cao)/2
Thêm hao hụt: 
15%: (((Đáy lớn + Đáy bé)*Chiều cao)/2))*1,15
20%: (((Đáy lớn + Đáy bé)*Chiều cao)/2))*1,2","Không có hao hụt: (Chiều dài*Chiều cao)/2
Thêm hao hụt: 
15%: ((Chiều dài*Chiều cao)/2)*1,15
20%: ((Chiều dài*Chiều cao)/2)*1,2",Ngói âm,Tổng diện tích x,15
,Mái bê tông,15 cặp/m2,,,,Ngói dương,Tổng diện tích x,15
,Mái bê tông,15 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,3
,Mái bê tông,27 cặp/m2,,,,Ngói âm,Tổng diện tích x,27
,Mái bê tông,27 cặp/m2,,,,Ngói dương,Tổng diện tích x,27
,Mái bê tông,27 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,5
,Mái bê tông,43 cặp/m2,,,,Ngói âm,Tổng diện tích x,43
,Mái bê tông,43 cặp/m2,,,,Ngói dương,Tổng diện tích x,43
,Mái bê tông,43 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,6
,Mái bê tông,80 cặp/m2,,,,Ngói âm,Tổng diện tích x,80
,Mái bê tông,80 cặp/m2,,,,Ngói dương,Tổng diện tích x,80
,Mái bê tông,80 cặp/m2,,,,Diềm,(Chiều dài (Hình chữ nhật) + Đáy lớn (Hình thang) + Chiều dài (Hình tam giác)) x,8